history:GTC_Multisite_Inwi/OUJ_MCO T°_AMBIANTE-SALLE IT

Timestamp,Trend Flags,Status,Value (°C)
19-Jul-25 10:45:00 AM WEST,{ },{unackedAlarm},21.0
19-Jul-25 11:00:00 AM WEST,{ },{unackedAlarm},21.0
19-Jul-25 11:15:00 AM WEST,{ },{unackedAlarm},21.5
19-Jul-25 11:30:00 AM WEST,{ },{unackedAlarm},21.4
19-Jul-25 11:45:01 AM WEST,{ },{unackedAlarm},21.2
19-Jul-25 12:00:00 PM WEST,{ },{unackedAlarm},21.6
19-Jul-25 12:15:00 PM WEST,{ },{unackedAlarm},20.5
19-Jul-25 12:30:00 PM WEST,{ },{unackedAlarm},20.8
19-Jul-25 12:45:00 PM WEST,{ },{unackedAlarm},20.6
19-Jul-25 1:00:00 PM WEST,{ },{unackedAlarm},21.1
19-Jul-25 1:15:01 PM WEST,{ },{unackedAlarm},20.5
19-Jul-25 1:30:00 PM WEST,{ },{unackedAlarm},20.4
19-Jul-25 1:45:00 PM WEST,{ },{unackedAlarm},21.0
19-Jul-25 2:00:00 PM WEST,{ },{unackedAlarm},20.3
19-Jul-25 2:15:00 PM WEST,{ },{unackedAlarm},20.6
19-Jul-25 2:30:00 PM WEST,{ },{unackedAlarm},21.1
19-Jul-25 2:45:01 PM WEST,{ },{unackedAlarm},21.1
19-Jul-25 3:00:00 PM WEST,{ },{unackedAlarm},21.0
19-Jul-25 3:15:00 PM WEST,{ },{unackedAlarm},21.3
19-Jul-25 3:30:00 PM WEST,{ },{unackedAlarm},21.3
19-Jul-25 3:45:00 PM WEST,{ },{unackedAlarm},21.3
19-Jul-25 4:00:01 PM WEST,{ },{unackedAlarm},21.8
19-Jul-25 4:15:01 PM WEST,{ },{unackedAlarm},21.8
19-Jul-25 4:30:00 PM WEST,{ },{unackedAlarm},20.7
19-Jul-25 4:45:00 PM WEST,{ },{unackedAlarm},20.6
19-Jul-25 5:00:00 PM WEST,{ },{unackedAlarm},20.8
19-Jul-25 5:15:00 PM WEST,{ },{unackedAlarm},21.5
19-Jul-25 5:30:00 PM WEST,{ },{unackedAlarm},21.6
19-Jul-25 5:45:00 PM WEST,{ },{unackedAlarm},21.0
19-Jul-25 6:00:00 PM WEST,{ },{unackedAlarm},21.6
19-Jul-25 6:15:01 PM WEST,{ },{unackedAlarm},21.3
19-Jul-25 6:30:01 PM WEST,{ },{unackedAlarm},21.5
19-Jul-25 6:45:00 PM WEST,{ },{unackedAlarm},20.9
19-Jul-25 7:00:01 PM WEST,{ },{unackedAlarm},21.7
19-Jul-25 7:15:00 PM WEST,{ },{unackedAlarm},21.0
19-Jul-25 7:30:00 PM WEST,{ },{unackedAlarm},21.3
19-Jul-25 7:45:00 PM WEST,{ },{unackedAlarm},21.3
19-Jul-25 8:00:00 PM WEST,{ },{unackedAlarm},21.3
19-Jul-25 8:15:00 PM WEST,{ },{unackedAlarm},21.6
19-Jul-25 8:30:00 PM WEST,{ },{unackedAlarm},20.9
19-Jul-25 8:45:00 PM WEST,{ },{unackedAlarm},21.0
19-Jul-25 9:00:01 PM WEST,{ },{unackedAlarm},20.8
19-Jul-25 9:15:01 PM WEST,{ },{unackedAlarm},20.9
19-Jul-25 9:30:00 PM WEST,{ },{unackedAlarm},21.5
19-Jul-25 9:45:00 PM WEST,{ },{unackedAlarm},21.1
19-Jul-25 10:00:00 PM WEST,{ },{unackedAlarm},21.5
19-Jul-25 10:15:01 PM WEST,{ },{unackedAlarm},21.2
19-Jul-25 10:30:00 PM WEST,{ },{unackedAlarm},21.5
19-Jul-25 10:45:00 PM WEST,{ },{unackedAlarm},22.4
19-Jul-25 11:00:01 PM WEST,{ },{unackedAlarm},20.9
19-Jul-25 11:15:00 PM WEST,{ },{unackedAlarm},21.6
19-Jul-25 11:30:01 PM WEST,{ },{unackedAlarm},21.2
19-Jul-25 11:45:01 PM WEST,{ },{unackedAlarm},21.0
20-Jul-25 12:00:00 AM WEST,{ },{unackedAlarm},21.2
20-Jul-25 12:15:00 AM WEST,{ },{unackedAlarm},21.4
20-Jul-25 12:30:00 AM WEST,{ },{unackedAlarm},21.3
20-Jul-25 12:45:01 AM WEST,{ },{unackedAlarm},21.1
20-Jul-25 1:00:00 AM WEST,{ },{unackedAlarm},21.3
20-Jul-25 1:15:00 AM WEST,{ },{unackedAlarm},21.4
20-Jul-25 1:30:01 AM WEST,{ },{unackedAlarm},21.3
20-Jul-25 1:45:00 AM WEST,{ },{unackedAlarm},21.3
20-Jul-25 2:00:00 AM WEST,{ },{unackedAlarm},21.1
20-Jul-25 2:15:00 AM WEST,{ },{unackedAlarm},21.2
20-Jul-25 2:30:01 AM WEST,{ },{unackedAlarm},21.3
20-Jul-25 2:45:01 AM WEST,{ },{unackedAlarm},21.5
20-Jul-25 3:00:00 AM WEST,{ },{unackedAlarm},21.4
20-Jul-25 3:15:01 AM WEST,{ },{unackedAlarm},21.4
20-Jul-25 3:30:00 AM WEST,{ },{unackedAlarm},21.2
20-Jul-25 3:45:01 AM WEST,{ },{unackedAlarm},21.0
20-Jul-25 4:00:00 AM WEST,{ },{unackedAlarm},21.1
20-Jul-25 4:15:00 AM WEST,{ },{unackedAlarm},21.4
20-Jul-25 4:30:01 AM WEST,{ },{unackedAlarm},21.2
20-Jul-25 4:45:00 AM WEST,{ },{unackedAlarm},21.1
20-Jul-25 5:00:00 AM WEST,{ },{unackedAlarm},21.1
20-Jul-25 5:15:00 AM WEST,{ },{unackedAlarm},21.1
20-Jul-25 5:30:00 AM WEST,{ },{unackedAlarm},20.8
20-Jul-25 5:45:00 AM WEST,{ },{unackedAlarm},21.4
20-Jul-25 6:00:00 AM WEST,{ },{unackedAlarm},21.2
20-Jul-25 6:15:00 AM WEST,{ },{unackedAlarm},21.1
20-Jul-25 6:30:00 AM WEST,{ },{unackedAlarm},21.1
20-Jul-25 6:45:00 AM WEST,{ },{unackedAlarm},21.4
20-Jul-25 7:00:00 AM WEST,{ },{unackedAlarm},20.9
20-Jul-25 7:15:00 AM WEST,{ },{unackedAlarm},21.0
20-Jul-25 7:30:00 AM WEST,{ },{unackedAlarm},21.4
20-Jul-25 7:45:00 AM WEST,{ },{unackedAlarm},21.3
20-Jul-25 8:00:00 AM WEST,{ },{unackedAlarm},21.0
20-Jul-25 8:15:00 AM WEST,{ },{unackedAlarm},21.2
20-Jul-25 8:30:00 AM WEST,{ },{unackedAlarm},21.4
20-Jul-25 8:45:00 AM WEST,{ },{unackedAlarm},21.3
20-Jul-25 9:00:00 AM WEST,{ },{unackedAlarm},21.1
20-Jul-25 9:15:00 AM WEST,{ },{unackedAlarm},21.0
20-Jul-25 9:30:00 AM WEST,{ },{unackedAlarm},21.0
20-Jul-25 9:45:00 AM WEST,{ },{unackedAlarm},20.9
20-Jul-25 10:00:00 AM WEST,{ },{unackedAlarm},20.8
20-Jul-25 10:15:00 AM WEST,{ },{unackedAlarm},21.4
20-Jul-25 10:30:00 AM WEST,{ },{unackedAlarm},21.4
20-Jul-25 10:45:00 AM WEST,{ },{unackedAlarm},21.0
20-Jul-25 11:00:00 AM WEST,{ },{unackedAlarm},21.0
20-Jul-25 11:15:00 AM WEST,{ },{unackedAlarm},21.3
20-Jul-25 11:30:00 AM WEST,{ },{unackedAlarm},21.0
20-Jul-25 11:45:00 AM WEST,{ },{unackedAlarm},21.1
20-Jul-25 12:00:00 PM WEST,{ },{unackedAlarm},21.9
20-Jul-25 12:15:00 PM WEST,{ },{unackedAlarm},21.4
20-Jul-25 12:30:00 PM WEST,{ },{unackedAlarm},21.6
20-Jul-25 12:45:01 PM WEST,{ },{unackedAlarm},22.0
20-Jul-25 1:00:01 PM WEST,{ },{unackedAlarm},21.5
20-Jul-25 1:15:00 PM WEST,{ },{unackedAlarm},20.5
20-Jul-25 1:30:01 PM WEST,{ },{unackedAlarm},21.4
20-Jul-25 1:45:00 PM WEST,{ },{unackedAlarm},21.7
20-Jul-25 2:00:00 PM WEST,{ },{unackedAlarm},20.5
20-Jul-25 2:15:00 PM WEST,{ },{unackedAlarm},22.2
20-Jul-25 2:30:00 PM WEST,{ },{unackedAlarm},21.6
20-Jul-25 2:45:01 PM WEST,{ },{unackedAlarm},20.5
20-Jul-25 3:00:00 PM WEST,{ },{unackedAlarm},21.4
20-Jul-25 3:15:00 PM WEST,{ },{unackedAlarm},20.4
20-Jul-25 3:30:00 PM WEST,{ },{unackedAlarm},21.0
20-Jul-25 3:45:00 PM WEST,{ },{unackedAlarm},21.4
20-Jul-25 4:00:00 PM WEST,{ },{unackedAlarm},21.5
20-Jul-25 4:15:00 PM WEST,{ },{unackedAlarm},21.2
20-Jul-25 4:30:00 PM WEST,{ },{unackedAlarm},21.0
20-Jul-25 4:45:00 PM WEST,{ },{unackedAlarm},20.6
20-Jul-25 5:00:00 PM WEST,{ },{unackedAlarm},21.3
20-Jul-25 5:15:00 PM WEST,{ },{unackedAlarm},21.1
20-Jul-25 5:30:00 PM WEST,{ },{unackedAlarm},20.8
20-Jul-25 5:45:00 PM WEST,{ },{unackedAlarm},21.4
20-Jul-25 6:00:00 PM WEST,{ },{unackedAlarm},21.4
20-Jul-25 6:15:00 PM WEST,{ },{unackedAlarm},21.3
20-Jul-25 6:30:00 PM WEST,{ },{unackedAlarm},21.7
20-Jul-25 6:45:00 PM WEST,{ },{unackedAlarm},21.0
20-Jul-25 7:00:00 PM WEST,{ },{unackedAlarm},21.6
20-Jul-25 7:15:00 PM WEST,{ },{unackedAlarm},21.3
20-Jul-25 7:30:00 PM WEST,{ },{unackedAlarm},21.0
20-Jul-25 7:45:00 PM WEST,{ },{unackedAlarm},20.9
20-Jul-25 8:00:01 PM WEST,{ },{unackedAlarm},21.2
20-Jul-25 8:15:00 PM WEST,{ },{unackedAlarm},21.4
20-Jul-25 8:30:01 PM WEST,{ },{unackedAlarm},20.7
20-Jul-25 8:45:00 PM WEST,{ },{unackedAlarm},21.4
20-Jul-25 9:00:00 PM WEST,{ },{unackedAlarm},21.3
20-Jul-25 9:15:01 PM WEST,{ },{unackedAlarm},21.3
20-Jul-25 9:30:02 PM WEST,{ },{unackedAlarm},21.4
20-Jul-25 9:45:00 PM WEST,{ },{unackedAlarm},21.1
20-Jul-25 10:00:00 PM WEST,{ },{unackedAlarm},21.3
20-Jul-25 10:15:01 PM WEST,{ },{unackedAlarm},21.0
20-Jul-25 10:30:01 PM WEST,{ },{unackedAlarm},21.1
20-Jul-25 10:45:00 PM WEST,{ },{unackedAlarm},21.0
20-Jul-25 11:00:00 PM WEST,{ },{unackedAlarm},21.0
20-Jul-25 11:15:00 PM WEST,{ },{unackedAlarm},21.3
20-Jul-25 11:30:00 PM WEST,{ },{unackedAlarm},21.0
20-Jul-25 11:45:00 PM WEST,{ },{unackedAlarm},21.0
21-Jul-25 12:00:01 AM WEST,{ },{unackedAlarm},21.2
21-Jul-25 12:15:00 AM WEST,{ },{unackedAlarm},21.5
21-Jul-25 12:30:00 AM WEST,{ },{unackedAlarm},21.6
21-Jul-25 12:45:00 AM WEST,{ },{unackedAlarm},21.0
21-Jul-25 1:00:00 AM WEST,{ },{unackedAlarm},21.2
21-Jul-25 1:15:00 AM WEST,{ },{unackedAlarm},20.8
21-Jul-25 1:30:00 AM WEST,{ },{unackedAlarm},21.1
21-Jul-25 1:45:00 AM WEST,{ },{unackedAlarm},21.2
21-Jul-25 2:00:01 AM WEST,{ },{unackedAlarm},21.4
21-Jul-25 2:15:02 AM WEST,{ },{unackedAlarm},21.2
21-Jul-25 2:30:01 AM WEST,{ },{unackedAlarm},21.0
21-Jul-25 2:45:00 AM WEST,{ },{unackedAlarm},21.0
21-Jul-25 3:00:00 AM WEST,{ },{unackedAlarm},21.2
21-Jul-25 3:15:00 AM WEST,{ },{unackedAlarm},21.3
21-Jul-25 3:30:00 AM WEST,{ },{unackedAlarm},21.1
21-Jul-25 3:45:00 AM WEST,{ },{unackedAlarm},21.0
21-Jul-25 4:00:00 AM WEST,{ },{unackedAlarm},21.2
21-Jul-25 4:15:01 AM WEST,{ },{unackedAlarm},21.3
21-Jul-25 4:30:00 AM WEST,{ },{unackedAlarm},20.9
21-Jul-25 4:45:00 AM WEST,{ },{unackedAlarm},21.0
21-Jul-25 5:00:01 AM WEST,{ },{unackedAlarm},21.4
21-Jul-25 5:15:00 AM WEST,{ },{unackedAlarm},21.0
21-Jul-25 5:30:00 AM WEST,{ },{unackedAlarm},21.0
21-Jul-25 5:45:00 AM WEST,{ },{unackedAlarm},21.2
21-Jul-25 6:00:00 AM WEST,{ },{unackedAlarm},20.9
21-Jul-25 6:15:01 AM WEST,{ },{unackedAlarm},20.9
21-Jul-25 6:30:00 AM WEST,{ },{unackedAlarm},21.3
21-Jul-25 6:45:00 AM WEST,{ },{unackedAlarm},21.1
21-Jul-25 7:00:00 AM WEST,{ },{unackedAlarm},21.1
21-Jul-25 7:15:00 AM WEST,{ },{unackedAlarm},21.4
21-Jul-25 7:30:00 AM WEST,{ },{unackedAlarm},21.1
21-Jul-25 7:45:01 AM WEST,{ },{unackedAlarm},20.8
21-Jul-25 8:00:00 AM WEST,{ },{unackedAlarm},21.1
21-Jul-25 8:15:00 AM WEST,{ },{unackedAlarm},21.2
21-Jul-25 8:30:01 AM WEST,{ },{unackedAlarm},21.0
21-Jul-25 8:45:00 AM WEST,{ },{unackedAlarm},21.0
21-Jul-25 9:00:00 AM WEST,{ },{unackedAlarm},21.0
21-Jul-25 9:15:01 AM WEST,{ },{unackedAlarm},21.4
21-Jul-25 9:30:01 AM WEST,{ },{unackedAlarm},21.3
21-Jul-25 9:45:00 AM WEST,{ },{unackedAlarm},21.1
21-Jul-25 10:00:00 AM WEST,{ },{unackedAlarm},21.0
21-Jul-25 10:15:01 AM WEST,{ },{unackedAlarm},21.0
21-Jul-25 10:30:00 AM WEST,{ },{unackedAlarm},20.9
21-Jul-25 10:45:00 AM WEST,{ },{unackedAlarm},21.3
21-Jul-25 11:00:00 AM WEST,{ },{unackedAlarm},21.4
21-Jul-25 11:15:01 AM WEST,{ },{unackedAlarm},20.9
21-Jul-25 11:30:01 AM WEST,{ },{unackedAlarm},21.3
21-Jul-25 11:45:01 AM WEST,{ },{unackedAlarm},21.0
21-Jul-25 12:00:00 PM WEST,{ },{unackedAlarm},21.5
21-Jul-25 12:15:01 PM WEST,{ },{unackedAlarm},21.6
21-Jul-25 12:30:00 PM WEST,{ },{unackedAlarm},20.9
21-Jul-25 12:45:00 PM WEST,{ },{unackedAlarm},21.7
21-Jul-25 1:00:00 PM WEST,{ },{unackedAlarm},21.3
21-Jul-25 1:15:00 PM WEST,{ },{unackedAlarm},20.7
21-Jul-25 1:30:00 PM WEST,{ },{unackedAlarm},20.3
21-Jul-25 1:45:01 PM WEST,{ },{unackedAlarm},22.0
21-Jul-25 2:00:00 PM WEST,{ },{unackedAlarm},21.0
21-Jul-25 2:15:01 PM WEST,{ },{unackedAlarm},20.9
21-Jul-25 2:30:00 PM WEST,{ },{unackedAlarm},21.0
21-Jul-25 2:45:00 PM WEST,{ },{unackedAlarm},21.5
21-Jul-25 3:00:00 PM WEST,{ },{unackedAlarm},21.2
21-Jul-25 3:15:00 PM WEST,{ },{unackedAlarm},20.8
21-Jul-25 3:30:00 PM WEST,{ },{unackedAlarm},21.6
21-Jul-25 3:45:00 PM WEST,{ },{unackedAlarm},21.3
21-Jul-25 4:00:01 PM WEST,{ },{unackedAlarm},20.7
21-Jul-25 4:15:00 PM WEST,{ },{unackedAlarm},21.5
21-Jul-25 4:30:01 PM WEST,{ },{unackedAlarm},21.1
21-Jul-25 4:45:00 PM WEST,{ },{unackedAlarm},21.4
