history:GTC_Multisite_Inwi/KEN-ONE Active Power Total Clim1

Timestamp,Trend Flags,Status,Value (kW)
06-Jul-25 9:30:00 AM WEST,{ },{ok},2.4
06-Jul-25 9:45:00 AM WEST,{ },{ok},2.6
06-Jul-25 10:00:00 AM WEST,{ },{ok},0.1
06-Jul-25 10:15:00 AM WEST,{ },{ok},2.1
06-Jul-25 10:30:00 AM WEST,{ },{ok},2.7
06-Jul-25 10:45:00 AM WEST,{ },{ok},2.7
06-Jul-25 11:00:00 AM WEST,{ },{ok},2.3
06-Jul-25 11:15:00 AM WEST,{ },{ok},2.7
06-Jul-25 11:30:00 AM WEST,{ },{ok},2.8
06-Jul-25 11:45:00 AM WEST,{ },{ok},0.1
06-Jul-25 12:00:00 PM WEST,{ },{ok},2.2
06-Jul-25 12:15:00 PM WEST,{ },{ok},2.8
06-Jul-25 12:30:00 PM WEST,{ },{ok},2.8
06-Jul-25 12:45:01 PM WEST,{ },{ok},2.2
06-Jul-25 1:00:00 PM WEST,{ },{ok},2.7
06-Jul-25 1:15:00 PM WEST,{ },{ok},2.8
06-Jul-25 1:30:01 PM WEST,{ },{ok},0.1
06-Jul-25 1:45:00 PM WEST,{ },{ok},2.2
06-Jul-25 2:00:00 PM WEST,{ },{ok},2.8
06-Jul-25 2:15:00 PM WEST,{ },{ok},2.8
06-Jul-25 2:30:00 PM WEST,{ },{ok},2.3
06-Jul-25 2:45:00 PM WEST,{ },{ok},2.8
06-Jul-25 3:00:00 PM WEST,{ },{ok},2.8
06-Jul-25 3:15:00 PM WEST,{ },{ok},0.1
06-Jul-25 3:30:00 PM WEST,{ },{ok},2.6
06-Jul-25 3:45:01 PM WEST,{ },{ok},2.8
06-Jul-25 4:00:00 PM WEST,{ },{ok},2.3
06-Jul-25 4:15:00 PM WEST,{ },{ok},2.3
06-Jul-25 4:30:00 PM WEST,{ },{ok},2.9
06-Jul-25 4:45:00 PM WEST,{ },{ok},2.8
06-Jul-25 5:00:00 PM WEST,{ },{ok},2.3
06-Jul-25 5:15:00 PM WEST,{ },{ok},2.8
06-Jul-25 5:30:00 PM WEST,{ },{ok},2.8
06-Jul-25 5:45:00 PM WEST,{ },{ok},2.3
06-Jul-25 6:00:00 PM WEST,{ },{ok},2.8
06-Jul-25 6:15:00 PM WEST,{ },{ok},2.8
06-Jul-25 6:30:00 PM WEST,{ },{ok},2.1
06-Jul-25 6:45:00 PM WEST,{ },{ok},2.6
06-Jul-25 7:00:01 PM WEST,{ },{ok},2.8
06-Jul-25 7:15:01 PM WEST,{ },{ok},2.2
06-Jul-25 7:30:01 PM WEST,{ },{ok},2.7
06-Jul-25 7:45:01 PM WEST,{ },{ok},2.6
06-Jul-25 8:00:01 PM WEST,{ },{ok},2.2
06-Jul-25 8:15:01 PM WEST,{ },{ok},2.2
06-Jul-25 8:30:00 PM WEST,{ },{ok},2.6
06-Jul-25 8:45:00 PM WEST,{ },{ok},2.6
06-Jul-25 9:00:01 PM WEST,{ },{ok},0.1
06-Jul-25 9:15:01 PM WEST,{ },{ok},2.4
06-Jul-25 9:30:01 PM WEST,{ },{ok},2.6
06-Jul-25 9:45:01 PM WEST,{ },{ok},2.1
06-Jul-25 10:00:00 PM WEST,{ },{ok},2.5
06-Jul-25 10:15:00 PM WEST,{ },{ok},2.6
06-Jul-25 10:30:01 PM WEST,{ },{ok},2.1
06-Jul-25 10:45:00 PM WEST,{ },{ok},2.1
06-Jul-25 11:00:00 PM WEST,{ },{ok},2.5
06-Jul-25 11:15:01 PM WEST,{ },{ok},2.2
06-Jul-25 11:30:00 PM WEST,{ },{ok},2.0
06-Jul-25 11:45:01 PM WEST,{ },{ok},2.5
07-Jul-25 12:00:00 AM WEST,{ },{ok},2.5
07-Jul-25 12:15:01 AM WEST,{ },{ok},2.1
07-Jul-25 12:30:00 AM WEST,{ },{ok},2.5
07-Jul-25 12:45:00 AM WEST,{ },{ok},2.5
07-Jul-25 1:00:00 AM WEST,{ },{ok},0.1
07-Jul-25 1:15:00 AM WEST,{ },{ok},2.4
07-Jul-25 1:30:00 AM WEST,{ },{ok},2.5
07-Jul-25 1:45:00 AM WEST,{ },{ok},0.1
07-Jul-25 2:00:00 AM WEST,{ },{ok},2.4
