history:GTC_Multisite_Inwi/BER-ONE Active Power Total_Arrive

Timestamp,Trend Flags,Status,Value (kW)
25-Jul-24 3:15:00 PM WEST,{ },{ok},1.5
25-Jul-24 3:30:00 PM WEST,{ },{ok},1.4
25-Jul-24 3:45:00 PM WEST,{ },{ok},1.4
25-Jul-24 4:00:00 PM WEST,{ },{ok},1.4
25-Jul-24 4:15:00 PM WEST,{ },{ok},1.4
25-Jul-24 4:30:00 PM WEST,{ },{ok},1.4
25-Jul-24 4:45:00 PM WEST,{ },{ok},1.4
25-Jul-24 5:00:00 PM WEST,{ },{ok},1.4
25-Jul-24 5:15:00 PM WEST,{ },{ok},1.3
25-Jul-24 5:30:00 PM WEST,{ },{ok},1.3
25-Jul-24 5:45:00 PM WEST,{ },{ok},1.3
25-Jul-24 6:00:00 PM WEST,{ },{ok},1.3
25-Jul-24 6:15:00 PM WEST,{ },{ok},1.3
25-Jul-24 6:30:00 PM WEST,{ },{ok},1.3
25-Jul-24 6:45:00 PM WEST,{ },{ok},1.2
25-Jul-24 7:00:00 PM WEST,{ },{ok},1.2
25-Jul-24 7:15:00 PM WEST,{ },{ok},1.2
25-Jul-24 7:30:00 PM WEST,{ },{ok},1.2
25-Jul-24 7:45:00 PM WEST,{ },{ok},1.0
25-Jul-24 8:00:00 PM WEST,{ },{ok},1.0
25-Jul-24 8:15:01 PM WEST,{ },{ok},1.0
25-Jul-24 8:30:00 PM WEST,{ },{ok},1.1
25-Jul-24 8:45:00 PM WEST,{ },{ok},1.1
25-Jul-24 9:00:00 PM WEST,{ },{ok},1.1
25-Jul-24 9:15:01 PM WEST,{ },{ok},1.0
25-Jul-24 9:30:00 PM WEST,{ },{ok},1.0
25-Jul-24 9:45:01 PM WEST,{ },{ok},1.0
25-Jul-24 10:00:00 PM WEST,{ },{ok},1.0
25-Jul-24 10:15:00 PM WEST,{ },{ok},0.9
25-Jul-24 10:30:00 PM WEST,{ },{ok},0.9
25-Jul-24 10:45:00 PM WEST,{ },{ok},0.9
25-Jul-24 11:00:00 PM WEST,{ },{ok},1.0
25-Jul-24 11:15:00 PM WEST,{ },{ok},0.9
25-Jul-24 11:30:00 PM WEST,{ },{ok},0.9
25-Jul-24 11:45:00 PM WEST,{ },{ok},0.9
26-Jul-24 12:00:00 AM WEST,{ },{ok},0.9
26-Jul-24 12:15:00 AM WEST,{ },{ok},0.8
26-Jul-24 12:30:00 AM WEST,{ },{ok},0.8
26-Jul-24 12:45:01 AM WEST,{ },{ok},0.8
26-Jul-24 1:00:00 AM WEST,{ },{ok},0.8
26-Jul-24 1:15:00 AM WEST,{ },{ok},0.8
26-Jul-24 1:30:00 AM WEST,{ },{ok},0.7
26-Jul-24 1:45:00 AM WEST,{ },{ok},0.7
26-Jul-24 2:00:00 AM WEST,{ },{ok},0.7
26-Jul-24 2:15:00 AM WEST,{ },{ok},0.7
26-Jul-24 2:30:00 AM WEST,{ },{ok},0.8
26-Jul-24 2:45:01 AM WEST,{ },{ok},0.1
26-Jul-24 3:00:00 AM WEST,{ },{ok},0.2
26-Jul-24 3:15:00 AM WEST,{ },{ok},0.3
26-Jul-24 3:30:00 AM WEST,{ },{ok},0.7
26-Jul-24 3:45:00 AM WEST,{ },{ok},0.6
26-Jul-24 4:00:00 AM WEST,{ },{ok},0.7
26-Jul-24 4:15:00 AM WEST,{ },{ok},0.6
