history:GTC_Multisite_Inwi/OUJ-ONE T°c Exterieur

Timestamp,Trend Flags,Status,Value (°C)
08-Jan-25 9:15:01 AM WEST,{ },{ok},8.8
08-Jan-25 9:30:02 AM WEST,{ },{ok},8.8
08-Jan-25 9:45:01 AM WEST,{ },{ok},9.2
08-Jan-25 10:00:00 AM WEST,{ },{ok},9.8
08-Jan-25 10:15:00 AM WEST,{ },{ok},10.1
08-Jan-25 10:30:01 AM WEST,{ },{ok},10.5
08-Jan-25 10:45:01 AM WEST,{ },{ok},11.0
08-Jan-25 11:00:00 AM WEST,{ },{ok},11.6
08-Jan-25 11:15:01 AM WEST,{ },{ok},12.3
08-Jan-25 11:30:02 AM WEST,{ },{ok},13.6
08-Jan-25 11:45:01 AM WEST,{ },{ok},14.6
08-Jan-25 12:00:01 PM WEST,{ },{ok},15.6
08-Jan-25 12:15:01 PM WEST,{ },{ok},16.5
08-Jan-25 12:30:00 PM WEST,{ },{ok},17.1
08-Jan-25 12:45:02 PM WEST,{ },{ok},17.8
08-Jan-25 1:00:02 PM WEST,{ },{ok},18.4
08-Jan-25 1:15:01 PM WEST,{ },{ok},19.1
08-Jan-25 1:30:00 PM WEST,{ },{ok},19.6
08-Jan-25 1:45:00 PM WEST,{ },{ok},19.4
08-Jan-25 2:00:01 PM WEST,{ },{ok},19.7
08-Jan-25 2:15:02 PM WEST,{ },{ok},20.4
08-Jan-25 2:30:03 PM WEST,{ },{ok},20.9
08-Jan-25 2:45:01 PM WEST,{ },{ok},20.8
08-Jan-25 3:00:01 PM WEST,{ },{ok},20.5
08-Jan-25 3:15:04 PM WEST,{ },{ok},20.8
08-Jan-25 3:30:01 PM WEST,{ },{ok},20.8
08-Jan-25 3:45:01 PM WEST,{ },{ok},21.0
08-Jan-25 4:00:00 PM WEST,{ },{ok},21.4
08-Jan-25 4:15:01 PM WEST,{ },{ok},21.6
08-Jan-25 4:30:01 PM WEST,{ },{ok},21.5
08-Jan-25 4:45:00 PM WEST,{ },{ok},21.2
08-Jan-25 5:00:00 PM WEST,{ },{ok},21.4
08-Jan-25 5:15:00 PM WEST,{ },{ok},20.7
08-Jan-25 5:30:00 PM WEST,{ },{ok},19.9
08-Jan-25 5:45:01 PM WEST,{ },{ok},19.5
08-Jan-25 6:00:01 PM WEST,{ },{ok},19.1
08-Jan-25 6:15:00 PM WEST,{ },{ok},18.7
08-Jan-25 6:30:00 PM WEST,{ },{ok},18.2
08-Jan-25 6:45:00 PM WEST,{ },{ok},18.1
08-Jan-25 7:00:01 PM WEST,{ },{ok},17.8
08-Jan-25 7:15:01 PM WEST,{ },{ok},17.5
08-Jan-25 7:30:00 PM WEST,{ },{ok},17.2
08-Jan-25 7:45:01 PM WEST,{ },{ok},16.9
08-Jan-25 8:00:01 PM WEST,{ },{ok},16.6
08-Jan-25 8:15:01 PM WEST,{ },{ok},16.2
08-Jan-25 8:30:01 PM WEST,{ },{ok},15.9
08-Jan-25 8:45:00 PM WEST,{ },{ok},15.7
08-Jan-25 9:00:00 PM WEST,{ },{ok},15.5
08-Jan-25 9:15:01 PM WEST,{ },{ok},15.2
08-Jan-25 9:30:00 PM WEST,{ },{ok},15.1
08-Jan-25 9:45:00 PM WEST,{ },{ok},15.1
08-Jan-25 10:00:00 PM WEST,{ },{ok},14.9
08-Jan-25 10:15:00 PM WEST,{ },{ok},14.5
08-Jan-25 10:30:00 PM WEST,{ },{ok},14.0
08-Jan-25 10:45:00 PM WEST,{ },{ok},13.8
08-Jan-25 11:00:00 PM WEST,{ },{ok},13.8
08-Jan-25 11:15:00 PM WEST,{ },{ok},13.9
08-Jan-25 11:30:00 PM WEST,{ },{ok},14.2
08-Jan-25 11:45:01 PM WEST,{ },{ok},14.3
09-Jan-25 12:00:00 AM WEST,{ },{ok},14.4
09-Jan-25 12:15:00 AM WEST,{ },{ok},14.3
09-Jan-25 12:30:01 AM WEST,{ },{ok},14.2
09-Jan-25 12:45:00 AM WEST,{ },{ok},14.2
09-Jan-25 1:00:00 AM WEST,{ },{ok},14.0
09-Jan-25 1:15:00 AM WEST,{ },{ok},14.2
09-Jan-25 1:30:00 AM WEST,{ },{ok},14.2
09-Jan-25 1:45:00 AM WEST,{ },{ok},14.1
09-Jan-25 2:00:01 AM WEST,{ },{ok},14.2
09-Jan-25 2:15:01 AM WEST,{ },{ok},14.1
09-Jan-25 2:30:00 AM WEST,{ },{ok},13.8
09-Jan-25 2:45:00 AM WEST,{ },{ok},13.8
09-Jan-25 3:00:00 AM WEST,{ },{ok},13.8
09-Jan-25 3:15:00 AM WEST,{ },{ok},14.0
09-Jan-25 3:30:00 AM WEST,{ },{ok},14.1
09-Jan-25 3:45:00 AM WEST,{ },{ok},14.2
09-Jan-25 4:00:00 AM WEST,{ },{ok},14.3
09-Jan-25 4:15:01 AM WEST,{ },{ok},14.0
09-Jan-25 4:30:01 AM WEST,{ },{ok},13.7
09-Jan-25 4:45:01 AM WEST,{ },{ok},13.4
09-Jan-25 5:00:00 AM WEST,{ },{ok},13.2
09-Jan-25 5:15:01 AM WEST,{ },{ok},13.2
09-Jan-25 5:30:00 AM WEST,{ },{ok},13.2
09-Jan-25 5:45:01 AM WEST,{ },{ok},13.0
09-Jan-25 6:00:01 AM WEST,{ },{ok},12.9
09-Jan-25 6:15:00 AM WEST,{ },{ok},12.6
09-Jan-25 6:30:01 AM WEST,{ },{ok},12.4
09-Jan-25 6:45:00 AM WEST,{ },{ok},12.3
09-Jan-25 7:00:00 AM WEST,{ },{ok},12.3
09-Jan-25 7:15:00 AM WEST,{ },{ok},12.5
09-Jan-25 7:30:00 AM WEST,{ },{ok},12.6
09-Jan-25 7:45:00 AM WEST,{ },{ok},12.5
09-Jan-25 8:00:00 AM WEST,{ },{ok},12.5
09-Jan-25 8:15:00 AM WEST,{ },{ok},12.5
09-Jan-25 8:30:00 AM WEST,{ },{ok},12.5
09-Jan-25 8:45:00 AM WEST,{ },{ok},12.6
09-Jan-25 9:00:01 AM WEST,{ },{ok},12.6
09-Jan-25 9:15:00 AM WEST,{ },{ok},12.8
09-Jan-25 9:30:01 AM WEST,{ },{ok},13.2
09-Jan-25 9:45:01 AM WEST,{ },{ok},13.5
09-Jan-25 10:00:01 AM WEST,{ },{ok},13.8
09-Jan-25 10:15:00 AM WEST,{ },{ok},14.1
09-Jan-25 10:30:01 AM WEST,{ },{ok},14.7
09-Jan-25 10:45:00 AM WEST,{ },{ok},15.3
09-Jan-25 11:00:01 AM WEST,{ },{ok},15.9
09-Jan-25 11:15:00 AM WEST,{ },{ok},16.6
09-Jan-25 11:30:00 AM WEST,{ },{ok},17.1
09-Jan-25 11:45:01 AM WEST,{ },{ok},17.5
09-Jan-25 12:00:01 PM WEST,{ },{ok},17.3
09-Jan-25 12:15:01 PM WEST,{ },{ok},17.3
09-Jan-25 12:30:01 PM WEST,{ },{ok},17.5
09-Jan-25 12:45:01 PM WEST,{ },{ok},18.0
09-Jan-25 1:00:00 PM WEST,{ },{ok},18.7
09-Jan-25 1:15:00 PM WEST,{ },{ok},19.5
09-Jan-25 1:30:00 PM WEST,{ },{ok},20.2
