history:GTC_Multisite_Inwi/AZR-ONE Active Power-CLIM

Timestamp,Trend Flags,Status,Value (kW)
03-Jun-25 1:15:03 PM WEST,{ },{ok},2.4
03-Jun-25 1:30:03 PM WEST,{ },{ok},2.5
03-Jun-25 1:45:01 PM WEST,{ },{ok},0.1
03-Jun-25 2:00:03 PM WEST,{ },{ok},2.4
03-Jun-25 2:15:02 PM WEST,{ },{ok},2.8
03-Jun-25 2:30:01 PM WEST,{ },{ok},2.4
03-Jun-25 2:45:01 PM WEST,{ },{ok},2.5
03-Jun-25 3:00:02 PM WEST,{ },{ok},0.1
03-Jun-25 3:15:01 PM WEST,{ },{ok},0.1
03-Jun-25 3:30:02 PM WEST,{ },{ok},0.1
03-Jun-25 3:45:02 PM WEST,{ },{ok},0.1
03-Jun-25 4:00:00 PM WEST,{ },{ok},0.1
03-Jun-25 4:15:03 PM WEST,{ },{ok},0.0
03-Jun-25 4:30:02 PM WEST,{ },{ok},0.1
03-Jun-25 4:45:02 PM WEST,{ },{ok},0.0
03-Jun-25 5:00:02 PM WEST,{ },{ok},0.1
03-Jun-25 5:15:02 PM WEST,{ },{ok},2.5
03-Jun-25 5:30:02 PM WEST,{ },{ok},2.5
03-Jun-25 5:45:02 PM WEST,{ },{ok},2.5
03-Jun-25 6:00:03 PM WEST,{ },{ok},2.4
03-Jun-25 6:15:02 PM WEST,{ },{ok},0.1
03-Jun-25 6:30:01 PM WEST,{ },{ok},2.4
03-Jun-25 6:45:02 PM WEST,{ },{ok},0.1
03-Jun-25 7:00:02 PM WEST,{ },{ok},2.4
03-Jun-25 7:15:02 PM WEST,{ },{ok},0.1
03-Jun-25 7:30:02 PM WEST,{ },{ok},0.1
03-Jun-25 7:45:02 PM WEST,{ },{ok},0.1
03-Jun-25 8:00:02 PM WEST,{ },{ok},0.1
03-Jun-25 8:15:02 PM WEST,{ },{ok},0.0
03-Jun-25 8:30:01 PM WEST,{ },{ok},0.1
03-Jun-25 8:45:02 PM WEST,{ },{ok},0.1
03-Jun-25 9:00:02 PM WEST,{ },{ok},0.0
03-Jun-25 9:15:02 PM WEST,{ },{ok},2.2
03-Jun-25 9:30:01 PM WEST,{ },{ok},2.2
03-Jun-25 9:45:02 PM WEST,{ },{ok},0.1
03-Jun-25 10:00:02 PM WEST,{ },{ok},2.2
03-Jun-25 10:15:01 PM WEST,{ },{ok},2.2
03-Jun-25 10:30:01 PM WEST,{ },{ok},0.1
03-Jun-25 10:45:02 PM WEST,{ },{ok},2.1
03-Jun-25 11:00:02 PM WEST,{ },{ok},2.3
03-Jun-25 11:15:02 PM WEST,{ },{ok},0.0
03-Jun-25 11:30:01 PM WEST,{ },{ok},0.1
03-Jun-25 11:45:02 PM WEST,{ },{ok},0.1
04-Jun-25 12:00:01 AM WEST,{ },{ok},0.0
04-Jun-25 12:15:02 AM WEST,{ },{ok},0.1
04-Jun-25 12:30:02 AM WEST,{ },{ok},0.1
04-Jun-25 12:45:02 AM WEST,{ },{ok},0.0
04-Jun-25 1:00:02 AM WEST,{ },{ok},0.1
04-Jun-25 1:15:02 AM WEST,{ },{ok},0.1
04-Jun-25 1:30:02 AM WEST,{ },{ok},2.0
04-Jun-25 1:45:02 AM WEST,{ },{ok},2.1
04-Jun-25 2:00:02 AM WEST,{ },{ok},2.0
04-Jun-25 2:15:02 AM WEST,{ },{ok},2.1
04-Jun-25 2:30:02 AM WEST,{ },{ok},0.1
04-Jun-25 2:45:02 AM WEST,{ },{ok},2.0
04-Jun-25 3:00:03 AM WEST,{ },{ok},0.1
04-Jun-25 3:15:02 AM WEST,{ },{ok},0.0
04-Jun-25 3:30:01 AM WEST,{ },{ok},0.1
04-Jun-25 3:45:01 AM WEST,{ },{ok},0.0
04-Jun-25 4:00:02 AM WEST,{ },{ok},0.1
04-Jun-25 4:15:02 AM WEST,{ },{ok},0.1
04-Jun-25 4:30:02 AM WEST,{ },{ok},0.1
04-Jun-25 4:45:02 AM WEST,{ },{ok},0.1
04-Jun-25 5:00:02 AM WEST,{ },{ok},0.0
04-Jun-25 5:15:02 AM WEST,{ },{ok},0.1
