history:GTC_Multisite_Inwi/OUA-ONE Active Power Arrive

Timestamp,Trend Flags,Status,Value (kW)
07-Jan-25 12:00:01 PM WEST,{ },{ok},11.4
07-Jan-25 12:15:01 PM WEST,{ },{ok},11.7
07-Jan-25 12:30:00 PM WEST,{ },{ok},11.5
07-Jan-25 12:45:01 PM WEST,{ },{ok},11.4
07-Jan-25 1:00:01 PM WEST,{ },{ok},16.5
07-Jan-25 1:15:01 PM WEST,{ },{ok},13.7
07-Jan-25 1:30:01 PM WEST,{ },{ok},13.9
07-Jan-25 1:45:01 PM WEST,{ },{ok},13.6
07-Jan-25 2:00:01 PM WEST,{ },{ok},13.7
07-Jan-25 2:15:00 PM WEST,{ },{ok},13.9
07-Jan-25 2:30:01 PM WEST,{ },{ok},13.6
07-Jan-25 2:45:01 PM WEST,{ },{ok},13.9
07-Jan-25 3:00:01 PM WEST,{ },{ok},11.6
07-Jan-25 3:15:01 PM WEST,{ },{ok},13.7
07-Jan-25 3:30:02 PM WEST,{ },{ok},13.7
07-Jan-25 3:45:01 PM WEST,{ },{ok},14.1
07-Jan-25 4:00:01 PM WEST,{ },{ok},14.3
07-Jan-25 4:15:01 PM WEST,{ },{ok},16.5
07-Jan-25 4:30:01 PM WEST,{ },{ok},13.8
07-Jan-25 4:45:01 PM WEST,{ },{ok},13.9
07-Jan-25 5:00:01 PM WEST,{ },{ok},16.4
07-Jan-25 5:15:01 PM WEST,{ },{ok},13.7
07-Jan-25 5:30:01 PM WEST,{ },{ok},13.8
07-Jan-25 5:45:00 PM WEST,{ },{ok},13.8
07-Jan-25 6:00:01 PM WEST,{ },{ok},13.8
07-Jan-25 6:15:01 PM WEST,{ },{ok},13.8
07-Jan-25 6:30:02 PM WEST,{ },{ok},13.7
07-Jan-25 6:45:01 PM WEST,{ },{ok},13.8
07-Jan-25 7:00:01 PM WEST,{ },{ok},13.8
07-Jan-25 7:15:01 PM WEST,{ },{ok},13.9
07-Jan-25 7:30:01 PM WEST,{ },{ok},14.2
07-Jan-25 7:45:01 PM WEST,{ },{ok},16.1
07-Jan-25 8:00:01 PM WEST,{ },{ok},16.1
07-Jan-25 8:15:01 PM WEST,{ },{ok},14.0
07-Jan-25 8:30:01 PM WEST,{ },{ok},14.0
07-Jan-25 8:45:01 PM WEST,{ },{ok},13.9
07-Jan-25 9:00:01 PM WEST,{ },{ok},14.0
07-Jan-25 9:15:01 PM WEST,{ },{ok},16.0
07-Jan-25 9:30:01 PM WEST,{ },{ok},13.7
07-Jan-25 9:45:01 PM WEST,{ },{ok},13.8
07-Jan-25 10:00:01 PM WEST,{ },{ok},14.0
07-Jan-25 10:15:01 PM WEST,{ },{ok},14.1
07-Jan-25 10:30:01 PM WEST,{ },{ok},13.9
07-Jan-25 10:45:01 PM WEST,{ },{ok},14.1
07-Jan-25 11:00:01 PM WEST,{ },{ok},14.2
07-Jan-25 11:15:01 PM WEST,{ },{ok},13.6
07-Jan-25 11:30:01 PM WEST,{ },{ok},13.6
07-Jan-25 11:45:01 PM WEST,{ },{ok},13.7
08-Jan-25 12:00:01 AM WEST,{ },{ok},13.6
08-Jan-25 12:15:00 AM WEST,{ },{ok},13.4
08-Jan-25 12:30:02 AM WEST,{ },{ok},13.6
08-Jan-25 12:45:02 AM WEST,{ },{ok},13.7
08-Jan-25 1:00:01 AM WEST,{ },{ok},13.6
08-Jan-25 1:15:01 AM WEST,{ },{ok},13.1
08-Jan-25 1:30:01 AM WEST,{ },{ok},13.1
08-Jan-25 1:45:01 AM WEST,{ },{ok},13.1
08-Jan-25 2:00:01 AM WEST,{ },{ok},14.7
08-Jan-25 2:15:01 AM WEST,{ },{ok},13.0
08-Jan-25 2:30:01 AM WEST,{ },{ok},10.9
08-Jan-25 2:45:01 AM WEST,{ },{ok},12.9
08-Jan-25 3:00:01 AM WEST,{ },{ok},13.0
08-Jan-25 3:15:00 AM WEST,{ },{ok},12.9
08-Jan-25 3:30:01 AM WEST,{ },{ok},12.9
08-Jan-25 3:45:01 AM WEST,{ },{ok},12.9
08-Jan-25 4:00:00 AM WEST,{ },{ok},12.9
08-Jan-25 4:15:01 AM WEST,{ },{ok},12.9
08-Jan-25 4:30:01 AM WEST,{ },{ok},12.9
08-Jan-25 4:45:01 AM WEST,{ },{ok},12.8
08-Jan-25 5:00:01 AM WEST,{ },{ok},12.9
08-Jan-25 5:15:01 AM WEST,{ },{ok},12.9
08-Jan-25 5:30:00 AM WEST,{ },{ok},10.9
08-Jan-25 5:45:01 AM WEST,{ },{ok},14.8
08-Jan-25 6:00:01 AM WEST,{ },{ok},10.9
08-Jan-25 6:15:01 AM WEST,{ },{ok},11.3
08-Jan-25 6:30:01 AM WEST,{ },{ok},15.2
08-Jan-25 6:45:01 AM WEST,{ },{ok},11.4
08-Jan-25 7:00:01 AM WEST,{ },{ok},13.7
08-Jan-25 7:15:01 AM WEST,{ },{ok},13.3
08-Jan-25 7:30:01 AM WEST,{ },{ok},11.5
08-Jan-25 7:45:01 AM WEST,{ },{ok},15.1
08-Jan-25 8:00:01 AM WEST,{ },{ok},11.5
08-Jan-25 8:15:01 AM WEST,{ },{ok},11.4
08-Jan-25 8:30:01 AM WEST,{ },{ok},11.4
08-Jan-25 8:45:01 AM WEST,{ },{ok},11.3
08-Jan-25 9:00:01 AM WEST,{ },{ok},15.2
08-Jan-25 9:15:01 AM WEST,{ },{ok},11.3
08-Jan-25 9:30:02 AM WEST,{ },{ok},13.5
08-Jan-25 9:45:01 AM WEST,{ },{ok},11.4
08-Jan-25 10:00:00 AM WEST,{ },{ok},11.4
08-Jan-25 10:15:00 AM WEST,{ },{ok},13.5
08-Jan-25 10:30:01 AM WEST,{ },{ok},13.5
08-Jan-25 10:45:01 AM WEST,{ },{ok},13.6
08-Jan-25 11:00:00 AM WEST,{ },{ok},13.5
08-Jan-25 11:15:01 AM WEST,{ },{ok},13.5
08-Jan-25 11:30:02 AM WEST,{ },{ok},13.6
08-Jan-25 11:45:01 AM WEST,{ },{ok},13.5
08-Jan-25 12:00:01 PM WEST,{ },{ok},13.6
08-Jan-25 12:15:01 PM WEST,{ },{ok},13.7
08-Jan-25 12:30:00 PM WEST,{ },{ok},13.6
08-Jan-25 12:45:02 PM WEST,{ },{ok},13.5
08-Jan-25 1:00:02 PM WEST,{ },{ok},13.5
08-Jan-25 1:15:01 PM WEST,{ },{ok},13.8
08-Jan-25 1:30:00 PM WEST,{ },{ok},13.9
08-Jan-25 1:45:00 PM WEST,{ },{ok},13.6
08-Jan-25 2:00:01 PM WEST,{ },{ok},13.7
08-Jan-25 2:15:02 PM WEST,{ },{ok},13.8
08-Jan-25 2:30:03 PM WEST,{ },{ok},13.7
08-Jan-25 2:45:01 PM WEST,{ },{ok},16.0
08-Jan-25 3:00:01 PM WEST,{ },{ok},14.0
08-Jan-25 3:15:04 PM WEST,{ },{ok},14.0
08-Jan-25 3:30:01 PM WEST,{ },{ok},16.5
08-Jan-25 3:45:01 PM WEST,{ },{ok},13.8
08-Jan-25 4:00:00 PM WEST,{ },{ok},16.2
08-Jan-25 4:15:01 PM WEST,{ },{ok},16.2
08-Jan-25 4:30:01 PM WEST,{ },{ok},14.2
08-Jan-25 4:45:00 PM WEST,{ },{ok},13.9
08-Jan-25 5:00:00 PM WEST,{ },{ok},13.9
08-Jan-25 5:15:00 PM WEST,{ },{ok},13.9
08-Jan-25 5:30:00 PM WEST,{ },{ok},13.8
08-Jan-25 5:45:01 PM WEST,{ },{ok},14.0
08-Jan-25 6:00:01 PM WEST,{ },{ok},16.3
08-Jan-25 6:15:00 PM WEST,{ },{ok},13.8
08-Jan-25 6:30:00 PM WEST,{ },{ok},14.0
08-Jan-25 6:45:00 PM WEST,{ },{ok},13.8
08-Jan-25 7:00:01 PM WEST,{ },{ok},14.0
08-Jan-25 7:15:01 PM WEST,{ },{ok},14.3
08-Jan-25 7:30:00 PM WEST,{ },{ok},14.1
08-Jan-25 7:45:01 PM WEST,{ },{ok},14.0
08-Jan-25 8:00:01 PM WEST,{ },{ok},14.0
08-Jan-25 8:15:01 PM WEST,{ },{ok},16.2
08-Jan-25 8:30:01 PM WEST,{ },{ok},14.0
08-Jan-25 8:45:00 PM WEST,{ },{ok},14.0
08-Jan-25 9:00:00 PM WEST,{ },{ok},14.3
08-Jan-25 9:15:01 PM WEST,{ },{ok},14.2
08-Jan-25 9:30:00 PM WEST,{ },{ok},13.9
08-Jan-25 9:45:00 PM WEST,{ },{ok},16.1
08-Jan-25 10:00:00 PM WEST,{ },{ok},13.9
08-Jan-25 10:15:00 PM WEST,{ },{ok},13.8
08-Jan-25 10:30:00 PM WEST,{ },{ok},14.0
08-Jan-25 10:45:00 PM WEST,{ },{ok},14.1
08-Jan-25 11:00:00 PM WEST,{ },{ok},14.1
08-Jan-25 11:15:00 PM WEST,{ },{ok},14.0
08-Jan-25 11:30:00 PM WEST,{ },{ok},13.9
08-Jan-25 11:45:01 PM WEST,{ },{ok},13.9
09-Jan-25 12:00:00 AM WEST,{ },{ok},13.8
09-Jan-25 12:15:00 AM WEST,{ },{ok},13.5
09-Jan-25 12:30:01 AM WEST,{ },{ok},13.5
09-Jan-25 12:45:00 AM WEST,{ },{ok},13.4
09-Jan-25 1:00:00 AM WEST,{ },{ok},13.4
09-Jan-25 1:15:00 AM WEST,{ },{ok},11.0
09-Jan-25 1:30:00 AM WEST,{ },{ok},13.0
09-Jan-25 1:45:00 AM WEST,{ },{ok},13.0
09-Jan-25 2:00:01 AM WEST,{ },{ok},13.0
09-Jan-25 2:15:01 AM WEST,{ },{ok},13.0
09-Jan-25 2:30:00 AM WEST,{ },{ok},12.9
09-Jan-25 2:45:00 AM WEST,{ },{ok},15.2
09-Jan-25 3:00:00 AM WEST,{ },{ok},13.0
09-Jan-25 3:15:00 AM WEST,{ },{ok},12.9
09-Jan-25 3:30:00 AM WEST,{ },{ok},12.9
09-Jan-25 3:45:00 AM WEST,{ },{ok},13.0
09-Jan-25 4:00:00 AM WEST,{ },{ok},12.9
09-Jan-25 4:15:01 AM WEST,{ },{ok},12.9
09-Jan-25 4:30:01 AM WEST,{ },{ok},13.0
09-Jan-25 4:45:01 AM WEST,{ },{ok},14.9
09-Jan-25 5:00:00 AM WEST,{ },{ok},12.9
09-Jan-25 5:15:01 AM WEST,{ },{ok},10.9
09-Jan-25 5:30:00 AM WEST,{ },{ok},12.8
09-Jan-25 5:45:01 AM WEST,{ },{ok},12.9
09-Jan-25 6:00:01 AM WEST,{ },{ok},13.0
09-Jan-25 6:15:00 AM WEST,{ },{ok},15.2
09-Jan-25 6:30:01 AM WEST,{ },{ok},13.3
09-Jan-25 6:45:00 AM WEST,{ },{ok},13.6
09-Jan-25 7:00:00 AM WEST,{ },{ok},11.7
09-Jan-25 7:15:00 AM WEST,{ },{ok},13.5
09-Jan-25 7:30:00 AM WEST,{ },{ok},13.4
09-Jan-25 7:45:00 AM WEST,{ },{ok},13.5
09-Jan-25 8:00:00 AM WEST,{ },{ok},13.5
09-Jan-25 8:15:00 AM WEST,{ },{ok},13.4
09-Jan-25 8:30:00 AM WEST,{ },{ok},13.2
09-Jan-25 8:45:00 AM WEST,{ },{ok},13.2
09-Jan-25 9:00:01 AM WEST,{ },{ok},13.3
09-Jan-25 9:15:00 AM WEST,{ },{ok},13.3
09-Jan-25 9:30:01 AM WEST,{ },{ok},13.3
09-Jan-25 9:45:01 AM WEST,{ },{ok},13.4
09-Jan-25 10:00:01 AM WEST,{ },{ok},13.3
09-Jan-25 10:15:00 AM WEST,{ },{ok},13.3
09-Jan-25 10:30:02 AM WEST,{ },{ok},13.4
09-Jan-25 10:45:00 AM WEST,{ },{ok},15.5
09-Jan-25 11:00:01 AM WEST,{ },{ok},13.6
09-Jan-25 11:15:00 AM WEST,{ },{ok},11.5
09-Jan-25 11:30:00 AM WEST,{ },{ok},11.3
09-Jan-25 11:45:01 AM WEST,{ },{ok},11.6
09-Jan-25 12:00:01 PM WEST,{ },{ok},15.6
09-Jan-25 12:15:01 PM WEST,{ },{ok},11.4
09-Jan-25 12:30:01 PM WEST,{ },{ok},11.5
09-Jan-25 12:45:01 PM WEST,{ },{ok},13.7
09-Jan-25 1:00:00 PM WEST,{ },{ok},13.9
09-Jan-25 1:15:01 PM WEST,{ },{ok},13.7
09-Jan-25 1:30:00 PM WEST,{ },{ok},13.8
09-Jan-25 1:45:00 PM WEST,{ },{ok},13.8
09-Jan-25 2:00:00 PM WEST,{ },{ok},13.7
09-Jan-25 2:15:00 PM WEST,{ },{ok},13.7
09-Jan-25 2:30:00 PM WEST,{ },{ok},13.9
09-Jan-25 2:45:00 PM WEST,{ },{ok},14.0
09-Jan-25 3:00:01 PM WEST,{ },{ok},13.8
09-Jan-25 3:15:01 PM WEST,{ },{ok},16.5
09-Jan-25 3:30:01 PM WEST,{ },{ok},14.0
09-Jan-25 3:45:01 PM WEST,{ },{ok},13.9
09-Jan-25 4:00:00 PM WEST,{ },{ok},13.8
09-Jan-25 4:15:00 PM WEST,{ },{ok},14.1
09-Jan-25 4:30:01 PM WEST,{ },{ok},14.2
09-Jan-25 4:45:01 PM WEST,{ },{ok},14.0
09-Jan-25 5:00:00 PM WEST,{ },{ok},13.9
09-Jan-25 5:15:01 PM WEST,{ },{ok},16.7
09-Jan-25 5:30:01 PM WEST,{ },{ok},16.3
09-Jan-25 5:45:01 PM WEST,{ },{ok},16.5
09-Jan-25 6:00:01 PM WEST,{ },{ok},16.3
09-Jan-25 6:15:01 PM WEST,{ },{ok},13.7
09-Jan-25 6:30:00 PM WEST,{ },{ok},16.3
09-Jan-25 6:45:00 PM WEST,{ },{ok},16.3
09-Jan-25 7:00:01 PM WEST,{ },{ok},13.8
09-Jan-25 7:15:01 PM WEST,{ },{ok},16.1
09-Jan-25 7:30:00 PM WEST,{ },{ok},16.4
09-Jan-25 7:45:00 PM WEST,{ },{ok},14.1
09-Jan-25 8:00:02 PM WEST,{ },{ok},14.1
09-Jan-25 8:15:01 PM WEST,{ },{ok},14.0
09-Jan-25 8:30:01 PM WEST,{ },{ok},14.2
09-Jan-25 8:45:01 PM WEST,{ },{ok},14.1
09-Jan-25 9:00:01 PM WEST,{ },{ok},14.2
09-Jan-25 9:15:00 PM WEST,{ },{ok},14.2
09-Jan-25 9:30:00 PM WEST,{ },{ok},14.0
09-Jan-25 9:45:03 PM WEST,{ },{ok},16.5
09-Jan-25 10:00:01 PM WEST,{ },{ok},13.8
09-Jan-25 10:15:00 PM WEST,{ },{ok},14.1
09-Jan-25 10:30:00 PM WEST,{ },{ok},16.2
09-Jan-25 10:45:00 PM WEST,{ },{ok},14.0
09-Jan-25 11:00:00 PM WEST,{ },{ok},14.0
09-Jan-25 11:15:00 PM WEST,{ },{ok},13.7
09-Jan-25 11:30:00 PM WEST,{ },{ok},13.6
09-Jan-25 11:45:02 PM WEST,{ },{ok},13.6
10-Jan-25 12:00:00 AM WEST,{ },{ok},13.6
10-Jan-25 12:15:01 AM WEST,{ },{ok},13.5
10-Jan-25 12:30:01 AM WEST,{ },{ok},13.5
10-Jan-25 12:45:02 AM WEST,{ },{ok},13.4
10-Jan-25 1:00:01 AM WEST,{ },{ok},13.4
